Y,Q21,Q23_30,Q29,Q210,Q312_1,Q312_2,Q310_1,Q310_2,Q310_3,Q310_4,Q310_5,Q310_6,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_12,Q43_13,Q43_14,Q43_15,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45_1,Q45_2,Q45_3,Q45_4,Q51_0_1_RANK,Q54_3,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q57,Q58,Q59,Q510,Q511,Q512,Q513,Q514,Q61,Q62,Q63,Q64_1,Q64_2,Q64_3,Q65_1,Q66_3,Q67_2,Q67_3,Q68,Q69_1,Q69_2,Q69_3,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,Q61_7,Q61_8,Q61_9,Q61_10,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Q72_6,Q72_7,Q72_8,Q72_9,Q72_10,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q63_7,Q63_8,Q74,Q75,Q91,Q98,Q99,Q101,Q102,Q111,Q112,Q113,Q121,Q123,Q132
1,2,1,5,2,1.0,1.0,2,2.0,3.0,2.0,3.0,2.0,4,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4,5.0,4.0,5.0,4.0,5.0,4.0,5,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,5.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,,1.0,1,3.0,2.0,6.0,4.0,5.0,7.0,6,7.0,8.0,4.0,2.0,3.0,5.0,1.0,9.0,2,2,1,1,2,1,1,1.0,3,1,2,1.0,,,,,,1.0,1,,,,3,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2,1.0,5.0,3.0,6.0,7.0,8.0,4.0,9.0,10.0,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2,2,5,1,3,3,1,6,2,17.0,1
1,2,2,5,4,1.0,1.0,3,3.0,2.0,3.0,2.0,2.0,5,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3,4.0,2.0,2.0,3.0,4.0,5.0,3,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3,2.0,2.0,1.0,4.0,4.0,4,5.0,4.0,4.0,1.0,1.0,2,1.0,3.0,5.0,6.0,4.0,7.0,2,3.0,1.0,6.0,4.0,7.0,5.0,8.0,9.0,1,2,1,1,1,1,1,1.0,2,2,2,1.0,,,1.0,1.0,,1.0,1,1.0,1.0,,3,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3,2.0,1.0,5.0,8.0,9.0,4.0,7.0,6.0,10.0,1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,2,1,6,1,3,6,2,1,2,1,1.0,90000
1,2,2,5,2,,,3,3.0,2.0,3.0,2.0,2.0,5,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1,5.0,5.0,1.0,1.0,5.0,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5,1.0,1.0,1.0,5.0,5.0,5,5.0,5.0,5.0,1.0,,1,3.0,4.0,5.0,2.0,6.0,7.0,2,4.0,1.0,5.0,6.0,3.0,7.0,8.0,9.0,1,2,1,1,2,1,1,1.0,1,1,1,,,,,,1.0,,1,,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,3.0,1.0,5.0,6.0,7.0,8.0,4.0,9.0,10.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,8,1,1,10,1,1,2,1,8.0,80000
1,2,0,1,2,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,5,4.0,5.0,5.0,5.0,5.0,2.0,1.0,1,4.0,4.0,1.0,1.0,1.0,5.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,4,4.0,2.0,1.0,5.0,5.0,4,4.0,5.0,5.0,2.0,1.0,2,3.0,5.0,4.0,6.0,7.0,1.0,1,5.0,3.0,9.0,4.0,6.0,2.0,8.0,7.0,1,2,1,1,1,3,1,,1,2,3,1.0,1.0,1.0,1.0,,1.0,,1,,1.0,1.0,3,4.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,6,2.0,5.0,4.0,7.0,9.0,8.0,3.0,1.0,10.0,1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2,2,1,6,2,2,1,2,4,4,2,4.0,100000
1,2,3,1,2,,,3,3.0,3.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1,1.0,1.0,1.0,1.0,1.0,4.0,2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4,4.0,3.0,3.0,3.0,4.0,4,4.0,4.0,4.0,2.0,1.0,1,2.0,4.0,3.0,6.0,5.0,7.0,6,2.0,3.0,5.0,4.0,1.0,7.0,9.0,8.0,2,4,2,2,3,1,2,2.0,3,3,3,1.0,1.0,1.0,,,1.0,1.0,1,,1.0,1.0,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3,1.0,2.0,4.0,9.0,5.0,6.0,7.0,8.0,10.0,3,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2,2,2,3,3,3,1,3,1,4,3,,30000
1,1,2,5,1,1.0,1.0,3,3.0,3.0,3.0,3.0,3.0,5,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,5,1.0,1.0,1.0,5.0,5.0,5,5.0,5.0,5.0,,1.0,1,6.0,3.0,2.0,5.0,4.0,7.0,1,5.0,3.0,4.0,2.0,6.0,7.0,8.0,9.0,1,3,1,1,1,1,1,1.0,4,1,1,1.0,,,,1.0,,,1,,,1.0,4,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,1,2.0,8.0,4.0,5.0,3.0,6.0,7.0,9.0,10.0,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,5,1,3,8,2,1,1,1,1.0,100000
0,1,2,5,2,,1.0,2,3.0,3.0,3.0,2.0,3.0,4,4.0,3.0,2.0,1.0,3.0,3.0,4.0,1,3.0,4.0,1.0,1.0,2.0,5.0,3,3.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,5,3.0,3.0,2.0,2.0,2.0,3,2.0,1.0,2.0,,1.0,1,3.0,2.0,4.0,5.0,6.0,7.0,2,3.0,5.0,1.0,6.0,7.0,4.0,8.0,9.0,2,1,2,1,1,3,1,2.0,4,2,2,,,1.0,1.0,1.0,1.0,,2,1.0,,1.0,3,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3,5.0,4.0,7.0,6.0,2.0,1.0,8.0,9.0,10.0,2,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2,2,1,2,1,3,2,3,1,4,1,16.0,30000
1,2,0,3,2,,1.0,3,2.0,2.0,1.0,2.0,1.0,4,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1,1.0,1.0,1.0,5.0,5.0,5,5.0,5.0,5.0,1.0,1.0,2,7.0,3.0,4.0,6.0,5.0,1.0,3,4.0,1.0,9.0,2.0,7.0,5.0,8.0,6.0,2,2,3,1,2,3,1,,1,1,3,1.0,1.0,1.0,1.0,,1.0,1.0,1,,1.0,1.0,3,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3.0,4.0,1.0,5.0,6.0,7.0,8.0,9.0,10.0,3,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,2,3,5,7,1,2,3,2,2,1.0,20000
1,2,0,5,1,,,1,1.0,1.0,1.0,1.0,1.0,4,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1,5.0,2.0,1.0,1.0,3.0,1.0,1,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,5,4.0,4.0,3.0,3.0,1.0,2,2.0,1.0,3.0,,,2,3.0,4.0,5.0,6.0,7.0,1.0,3,4.0,5.0,2.0,6.0,7.0,8.0,9.0,1.0,1,4,3,1,2,1,2,,3,2,2,1.0,1.0,,,1.0,1.0,,2,1.0,,,4,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,5,1,2,4,2,7,7,2,17.0,40000
1,1,2,1,4,1.0,1.0,3,3.0,3.0,3.0,3.0,3.0,5,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1,3.0,3.0,1.0,3.0,5.0,5.0,1,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,3,3.0,1.0,3.0,5.0,5.0,4,4.0,4.0,5.0,3.0,1.0,1,3.0,2.0,4.0,5.0,6.0,7.0,3,1.0,5.0,4.0,6.0,2.0,7.0,8.0,9.0,2,4,3,1,1,3,1,3.0,2,1,2,,1.0,1.0,,1.0,,1.0,1,,,,3,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,4.0,3.0,2.0,5.0,7.0,6.0,9.0,8.0,10.0,2,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2,2,2,2,1,4,1,2,1,1,3,,70000
1,1,0,5,4,1.0,1.0,3,3.0,3.0,3.0,3.0,2.0,4,4.0,4.0,3.0,4.0,2.0,4.0,2.0,1,4.0,2.0,1.0,1.0,2.0,5.0,3,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4,3.0,3.0,3.0,3.0,4.0,4,4.0,3.0,4.0,1.0,1.0,1,2.0,3.0,4.0,6.0,5.0,7.0,1,2.0,5.0,8.0,6.0,3.0,4.0,7.0,9.0,1,1,3,1,1,1,1,,2,3,3,1.0,,1.0,,1.0,,,1,,,,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,2.0,4.0,3.0,7.0,9.0,8.0,6.0,5.0,10.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,1,1,3,1,2,3,2,6,4,3,,20000
1,2,5,3,1,1.0,1.0,3,2.0,3.0,2.0,3.0,2.0,3,2.0,1.0,1.0,2.0,1.0,5.0,3.0,2,5.0,5.0,1.0,3.0,4.0,1.0,1,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,5,4.0,4.0,3.0,3.0,4.0,2,1.0,1.0,4.0,,1.0,6,2.0,4.0,5.0,3.0,1.0,7.0,2,4.0,5.0,1.0,9.0,3.0,6.0,7.0,8.0,1,2,1,1,1,1,1,1.0,2,2,2,1.0,,,1.0,1.0,,,1,1.0,1.0,1.0,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2,2,1,4,1,2,9,2,4,4,3,,40000
1,2,0,5,4,,1.0,2,2.0,2.0,2.0,2.0,2.0,4,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1,1.0,1.0,1.0,1.0,5.0,1.0,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2,2.0,2.0,2.0,1.0,1.0,4,4.0,4.0,2.0,,1.0,1,2.0,3.0,4.0,5.0,6.0,7.0,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1,2,1,1,1,1,1,,1,1,1,,,,1.0,,,1.0,1,,,,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,3,5,8,6,1,1,1,2,23.0,1
